apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
anlik.trafikcezasisorgulama.online.trafikcezasorgulama,2,0,1,1,0,1,13,10,5,3,0
com.ji.cal.tool.ca,5,0,0,5,0,1,0,6,9,3,0
com.appmk.book,7,0,0,0,0,3,0,2,8,3,0
com.hapihzj.kbmrgak,13,0,5,7,0,16,0,0,25,0,0
com.andromo.dev217760,6,0,0,0,0,1,4,3,2,2,1
com.huishoubao.zuji,4,0,0,0,0,1,0,6,10,3,0
com.redfedfdgeolo.androxueflash,6,0,1,1,0,2,2,6,9,3,0
com.fashionshoplogoideas.hyuapp,3,0,0,0,0,1,8,2,2,2,0
com.LaguDlloydmp3Kenangan.HaturApps,3,0,0,0,0,1,8,2,2,2,0
aimoxiu.theme.mx026bb6b4732c10704d119a1504fb413f,1,0,0,0,0,1,0,5,8,4,0
com.OldOilCandlesDesignomadmad,3,0,0,0,0,1,9,3,2,2,0
com.hadcock.hoarding,9,0,2,3,0,5,11,7,11,6,0
com.jiyici,11,0,0,0,0,1,0,1,5,0,0
com,3,0,1,1,0,4,8,4,9,3,0
com.camelgames.shootukkbnbmgyhg,7,0,1,1,0,4,0,3,11,0,0
com.CaraMemutihkanBadan,3,0,0,0,0,1,4,2,2,2,0
com.adesk,11,0,2,3,2,7,10,9,14,9,0
com.easyxapp.secret,17,1,7,5,3,9,5,9,17,9,0
com.andromo.dev314697,6,0,0,0,0,1,4,3,2,2,1
com.atunnecliffe,2,0,1,0,0,1,11,4,2,2,0
com.cooeeui.zenlauncher,26,1,4,6,0,7,11,10,31,12,6
com.pepizhoopum.zagreb,5,0,0,0,0,1,0,4,9,2,0
com.alfasistemas.redmega,7,0,0,1,1,1,12,4,4,3,0
com.psyphoarazitomolt2.aspectacularscreenprank,4,0,3,3,0,6,2,6,10,5,0
com.hns.yhjn.wsa.vjlOFASEF,2,0,1,1,0,2,0,1,18,1,0
com.qmtiku.categoryId_9,26,1,3,4,0,7,0,6,18,3,0
com.hadi.bakalim4,4,0,1,2,0,4,0,1,6,2,0
com.diet,2,0,0,0,0,1,4,3,2,2,0
