,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
71,com.pw.smartbar508B40ABCCCF660EE6E430FA0C7BB0F71DE53391,20,1,2,4,0,4,0,6,24,3,0,True
72,com.AbayaFashionsMuslim2018.dzahabdhowi,3,0,0,0,0,1,8,2,2,2,0,True
73,com.hd.factory.anime,22,0,2,1,0,6,31,9,6,6,1,True
74,com.andromo.dev546003,2,0,0,0,0,1,10,4,1,1,1,False
75,com.andromo.dev283381,3,0,1,2,0,9,1,4,4,3,1,False
76,com.cfinc.homee.themepack,2,0,2,2,9,5,14,7,2,2,0,False
77,com.andatsoft,31,0,3,1,0,4,3,4,9,5,0,False
78,com.goyal.imrei,1,0,0,0,0,1,0,0,2,0,0,True
79,cn.bighead.livewallpaper,10,0,3,3,0,6,4,7,10,6,1,False
80,com.bmsoft,10,0,0,0,0,1,0,2,8,1,0,False
81,appinventor.ai_andreicretoiu.RV,1,0,0,0,0,1,28,7,5,4,0,False
82,com.fireballlivewallpaper5761390,7,0,1,2,0,4,17,7,8,4,1,True
83,com.coreapps.android.followme,99,1,5,5,0,11,1,7,21,9,7,False
84,com.How.to.Speak.Polish,7,1,0,1,0,1,8,5,2,2,1,False
85,appzglobe.tamil.amman.songs,3,0,1,3,0,9,1,4,5,4,1,False
86,anlik.trafikcezasisorgulama.online.trafikcezasorgulama,2,0,1,1,0,1,13,10,5,3,0,True
87,com.ji.cal.tool.ca,5,0,0,5,0,1,0,6,9,3,0,True
88,com.appmk.book,7,0,0,0,0,3,0,2,8,3,0,False
89,com.hapihzj.kbmrgak,13,0,5,7,0,16,0,0,25,0,0,True
90,com.andromo.dev217760,6,0,0,0,0,1,4,3,2,2,1,False
91,com.huishoubao.zuji,4,0,0,0,0,1,0,6,10,3,0,True
92,com.redfedfdgeolo.androxueflash,6,0,1,1,0,2,2,6,9,3,0,True
93,com.fashionshoplogoideas.hyuapp,3,0,0,0,0,1,8,2,2,2,0,True
